City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Butaritari,KI,3.0707,172.7902,81.81,81,100,19.01,light rain
280,Tatawin,TN,32.9297,10.4518,72.5,67,0,4.5,clear sky
281,Marivan,IR,35.5219,46.176,74.07,22,0,7.67,clear sky
282,Port Macquarie,AU,-31.4333,152.9167,57.88,59,94,6.64,overcast clouds
283,Klaksvik,FO,62.2266,-6.589,49.12,76,50,4.85,scattered clouds
284,Eidfjord,NO,60.4675,7.0719,51.04,89,89,4.76,overcast clouds
285,Sioux Lookout,CA,50.1001,-91.917,82.47,47,20,12.66,few clouds
286,Murdochville,CA,48.9583,-65.5006,61.84,54,61,11.27,broken clouds
287,Portland,US,45.5234,-122.6762,86.63,34,20,5.75,few clouds
288,Waddan,LY,29.1614,16.139,74.89,51,0,7.78,clear sky
289,Norman Wells,CA,65.282,-126.8329,60.84,59,40,13.8,scattered clouds
290,Norsup,VU,-16.0667,167.3833,78.82,79,54,18.32,broken clouds
291,Port-Gentil,GA,-0.7193,8.7815,75.16,83,100,9.22,overcast clouds
292,Kruisfontein,ZA,-34.0033,24.7314,53.42,71,96,5.32,overcast clouds
293,Novobirilyussy,RU,56.9514,90.6661,53.85,98,100,0.43,light rain
294,Vestmannaeyjar,IS,63.4427,-20.2734,52.72,94,100,30.53,overcast clouds
295,Wanaka,NZ,-44.7,169.15,41.11,78,14,1.99,few clouds
296,Severo-Yeniseyskiy,RU,60.3725,93.0408,47.97,89,17,1.21,few clouds
297,Mogadishu,SO,2.0371,45.3438,75.99,82,100,17.49,overcast clouds
298,Puerto Colombia,CO,10.9878,-74.9547,82.49,82,12,19.37,few clouds
299,Nicoya,CR,10.1483,-85.452,77.14,87,89,5.3,overcast clouds
300,Smithers,CA,54.7804,-127.1743,64.72,72,75,5.75,broken clouds
301,Ossora,RU,59.2353,163.0719,60.17,75,43,6.2,scattered clouds
302,Zhangjiakou,CN,40.81,114.8794,76.84,40,100,2.37,overcast clouds
303,Sechura,PE,-5.5569,-80.8222,64.94,72,0,18.63,clear sky
304,Okato,NZ,-39.2,173.8833,50.68,76,37,13.13,scattered clouds
305,Nabire,ID,-3.3667,135.4833,79.09,90,79,2.33,broken clouds
306,Nouadhibou,MR,20.931,-17.0347,69.78,88,23,12.66,few clouds
307,Vilyuysk,RU,63.7553,121.6247,69.98,76,40,8.84,scattered clouds
308,Boguchany,RU,58.3814,97.4531,59.38,66,60,1.77,broken clouds
309,Bara,NG,10.3744,10.7288,73.67,84,100,2.48,overcast clouds
310,Pangoa,PE,-12.1167,-73.0,69.15,94,92,2.71,overcast clouds
311,Victoria,HK,22.2855,114.1577,87.96,88,100,11.01,overcast clouds
312,Vesyegonsk,RU,58.664,37.2604,50.54,98,52,5.32,broken clouds
313,Pevek,RU,69.7008,170.3133,39.02,65,100,2.15,overcast clouds
314,Half Moon Bay,US,37.4636,-122.4286,85.53,77,100,24.16,overcast clouds
315,Mukhen,RU,48.1,136.1,70.75,65,99,2.3,overcast clouds
316,Russell,US,32.3502,-85.1999,84.0,89,0,0.0,clear sky
317,Nome,US,64.5011,-165.4064,64.17,63,0,11.5,clear sky
318,Aksarka,RU,66.5606,67.7975,56.71,63,14,4.92,few clouds
319,Gamba,GA,-2.65,10.0,70.81,92,58,3.62,broken clouds
320,Samarai,PG,-10.6167,150.6667,78.48,68,100,15.68,overcast clouds
321,Lorengau,PG,-2.0226,147.2712,83.05,71,82,13.06,broken clouds
322,Iqaluit,CA,63.7506,-68.5145,67.73,42,20,24.16,few clouds
323,Barcelos,PT,41.5388,-8.6151,73.92,84,29,0.34,scattered clouds
324,Abalak,RU,58.1286,68.5944,59.79,94,82,5.88,broken clouds
325,Nyurba,RU,63.2842,118.3319,71.56,76,42,9.69,scattered clouds
326,Sierpc,PL,52.8568,19.6691,52.95,66,64,6.67,broken clouds
327,Baghdad,IQ,33.3406,44.4009,82.31,30,0,2.3,clear sky
328,Shimoda,JP,34.6667,138.95,77.36,93,100,7.09,overcast clouds
329,Qarqin,AF,37.4185,66.0436,84.06,16,0,5.93,clear sky
330,Luderitz,NA,-26.6481,15.1594,71.01,25,0,7.61,clear sky
331,Wahiawa,US,21.5028,-158.0236,80.92,63,100,9.22,overcast clouds
332,Tiarei,PF,-17.5333,-149.3333,78.82,70,21,25.68,light rain
333,Torres,BR,-29.3353,-49.7269,74.82,90,100,1.72,overcast clouds
334,Upernavik,GL,72.7868,-56.1549,48.04,62,2,5.88,clear sky
335,Deputatskiy,RU,69.3,139.9,53.6,64,84,7.27,broken clouds
336,Taksimo,RU,56.3444,114.8794,63.41,88,99,1.52,overcast clouds
337,Mmabatho,ZA,-25.85,25.6333,50.83,36,0,9.91,clear sky
338,Hot Springs,US,34.5037,-93.0552,95.4,36,0,10.36,clear sky
339,Biritiba-Mirim,BR,-23.5698,-46.0407,68.18,61,99,3.4,overcast clouds
340,Llangefni,GB,53.2556,-4.3106,59.65,84,100,5.75,overcast clouds
341,Pochutla,MX,15.7432,-96.4661,77.79,85,99,4.68,overcast clouds
342,Honiara,SB,-9.4333,159.95,85.64,63,52,7.49,broken clouds
343,Kashan,IR,33.9831,51.4364,87.39,15,0,2.3,clear sky
344,Xinyu,CN,27.8043,114.9334,85.15,71,100,5.99,overcast clouds
345,Matara,LK,5.9485,80.5353,75.85,91,74,7.78,broken clouds
